FullVersion,MajorVersion,ServicePack,CumulativeUpdate
10.00.6000,2008,4,
10.00.5861,2008,3,17
10.00.5852,2008,3,16
10.00.5850,2008,3,15
10.00.5848,2008,3,14
10.00.5846,2008,3,13
10.00.5844,2008,3,12
10.00.5840,2008,3,11
10.00.5835,2008,3,10
10.00.5829,2008,3,9
10.00.5828,2008,3,8
10.00.5794,2008,3,7
10.00.5788,2008,3,6
10.00.5785,2008,3,5
10.00.5775,2008,3,4
10.00.5770,2008,3,3
10.00.5768,2008,3,2
10.00.5766,2008,3,1
10.00.5500,2008,3,
10.00.5416,2008,3,
10.00.4333,2008,2,11
10.00.4332,2008,2,10
10.00.4330,2008,2,9
10.00.4326,2008,2,8
10.00.4323,2008,2,7
10.00.4321,2008,2,6
10.00.4316,2008,2,5
10.00.4285,2008,2,4
10.00.4279,2008,2,3
10.00.4272,2008,2,2
10.00.4266,2008,2,1
10.00.4000,2008,2,
10.00.3798,2008,2,
10.00.2850,2008,1,16
10.00.2847,2008,1,15
10.00.2821,2008,1,14
10.00.2816,2008,1,13
10.00.2808,2008,1,12
10.00.2804,2008,1,11
10.00.2799,2008,1,10
10.00.2789,2008,1,9
10.00.2775,2008,1,8
10.00.2766,2008,1,7
10.00.2757,2008,1,6
10.00.2746,2008,1,5
10.00.2734,2008,1,4
10.00.2723,2008,1,3
10.00.2714,2008,1,2
10.00.2710,2008,1,1
10.00.2531,2008,1,
10.00.2520,2008,1,
10.00.1835,2008,0,10
10.00.1828,2008,0,9
10.00.1823,2008,0,8
10.00.1818,2008,0,7
10.00.1812,2008,0,6
10.00.1806,2008,0,5
10.00.1798,2008,0,4
10.00.1787,2008,0,3
10.00.1779,2008,0,2
10.00.1763,2008,0,1
10.00.1600,2008,0,
10.00.1442,2008,0,
10.00.1300,2008,0,
10.00.1019,2008,0,
10.50.6000,2008R2,3,
10.50.4319,2008R2,2,13
10.50.4305,2008R2,2,12
10.50.4302,2008R2,2,11
10.50.4297,2008R2,2,10
10.50.4295,2008R2,2,9
10.50.4290,2008R2,2,8
10.50.4286,2008R2,2,7
10.50.4285,2008R2,2,6
10.50.4279,2008R2,2,6
10.50.4276,2008R2,2,5
10.50.4270,2008R2,2,4
10.50.4266,2008R2,2,3
10.50.4263,2008R2,2,2
10.50.4260,2008R2,2,1
10.50.4000,2008R2,2,
10.50.3720,2008R2,2,
10.50.2876,2008R2,1,13
10.50.2875,2008R2,1,12
10.50.2874,2008R2,1,12
10.50.2869,2008R2,1,11
10.50.2868,2008R2,1,10
10.50.2866,2008R2,1,9
10.50.2822,2008R2,1,8
10.50.2817,2008R2,1,7
10.50.2811,2008R2,1,6
10.50.2806,2008R2,1,5
10.50.2796,2008R2,1,4
10.50.2789,2008R2,1,3
10.50.2772,2008R2,1,2
10.50.2769,2008R2,1,1
10.50.2500,2008R2,1,
10.50.1817,2008R2,0,14
10.50.1815,2008R2,0,13
10.50.1810,2008R2,0,12
10.50.1809,2008R2,0,11
10.50.1807,2008R2,0,10
10.50.1804,2008R2,0,9
10.50.1797,2008R2,0,8
10.50.1777,2008R2,0,7
10.50.1765,2008R2,0,6
10.50.1753,2008R2,0,5
10.50.1746,2008R2,0,4
10.50.1734,2008R2,0,3
10.50.1720,2008R2,0,2
10.50.1702,2008R2,0,1
10.50.1600,2008R2,0,
10.50.1352,2008R2,0,
10.50.1092,2008R2,0,
11.00.6523,2012,3,2
11.00.6518,2012,3,1
11.00.6020,2012,3,
11.00.5646,2012,2,11
11.00.5644,2012,2,10
11.00.5641,2012,2,9
11.00.5634,2012,2,8
11.00.5623,2012,2,7
11.00.5592,2012,2,6
11.00.5582,2012,2,5
11.00.5569,2012,2,4
11.00.5556,2012,2,3
11.00.5548,2012,2,2
11.00.5532,2012,2,1
11.00.5058,2012,2,
11.00.3492,2012,1,16
11.00.3487,2012,1,15
11.00.3486,2012,1,14
11.00.3482,2012,1,13
11.00.3470,2012,1,12
11.00.3449,2012,1,11
11.00.3431,2012,1,10
11.00.3412,2012,1,9
11.00.3401,2012,1,8
11.00.3393,2012,1,7
11.00.3381,2012,1,6
11.00.3373,2012,1,5
11.00.3368,2012,1,4
11.00.3349,2012,1,3
11.00.3339,2012,1,2
11.00.3321,2012,1,1
11.00.3000,2012,1,
11.00.2845,2012,1,
11.00.2809,2012,1,
11.00.2424,2012,0,11
11.00.2420,2012,0,10
11.00.2419,2012,0,9
11.00.2410,2012,0,8
11.00.2405,2012,0,7
11.00.2401,2012,0,6
11.00.2395,2012,0,5
11.00.2383,2012,0,4
11.00.2332,2012,0,3
11.00.2325,2012,0,2
11.00.2316,2012,0,1
11.00.2100,2012,0,
11.00.1913,2012,0,
11.00.1750,2012,0,
11.00.1440,2012,0,
11.00.1103,2012,0,
12.00.4439,2014,1,5
12.00.4436,2014,1,4
12.00.4427,2014,1,3
12.00.4422,2014,1,2
12.00.4416,2014,1,1
12.00.4100,2014,1,
12.00.4050,2014,1,
12.00.2564,2014,0,12
12.00.2560,2014,0,11
12.00.2556,2014,0,10
12.00.2553,2014,0,9
12.00.2546,2014,0,8
12.00.2495,2014,0,7
12.00.2480,2014,0,6
12.00.2456,2014,0,5
12.00.2430,2014,0,4
12.00.2402,2014,0,3
12.00.2370,2014,0,2
12.00.2342,2014,0,1
12.00.2000,2014,0,
12.00.1524,2014,0,
11.00.9120,2014,0,
13.00.1200.242,2016,0,
13.00.1100.288,2016,0,
13.00.1000.281,2016,0,
13.00.900.73,2016,0,
13.00.800.11,2016,0,
13.00.700.139,2016,0,
13.00.600.65,2016,0,
13.00.500.53,2016,0,
13.00.407.1,2016,0,
13.00.400.91,2016,0,
13.00.300.44,2016,0,
13.00.200.172,2016,0,
